"","freq","prev","p.freq","p.prev","p","contaminant"
"ASV_5038",1.10492045375275e-05,10,NA,0.574495384403417,0.574495384403417,FALSE
"ASV_5039",5.97816353959726e-06,9,NA,0.567403640810141,0.567403640810141,FALSE
"ASV_5040",7.62622833308551e-06,4,NA,0.530760884541196,0.530760884541196,FALSE
"ASV_5041",7.02200818931042e-06,8,NA,0.560233535409204,0.560233535409204,FALSE
"ASV_5042",1.96522069995774e-05,11,NA,0.581509196748416,0.581509196748416,FALSE
"ASV_5043",1.16846505362481e-05,5,NA,0.538248742766603,0.538248742766603,FALSE
"ASV_5044",9.84301671308678e-06,3,NA,0.523192511711215,0.523192511711215,FALSE
"ASV_5045",5.29076967315843e-06,5,NA,0.538248742766603,0.538248742766603,FALSE
"ASV_5046",2.63404208297355e-06,3,NA,0.523192511711215,0.523192511711215,FALSE
"ASV_5047",1.99208760609565e-05,8,NA,0.560233535409204,0.560233535409204,FALSE
"ASV_5049",8.73749336116388e-06,4,NA,0.530760884541196,0.530760884541196,FALSE
"ASV_5050",1.94863880706748e-06,7,NA,0.552984637641224,0.552984637641224,FALSE
"ASV_5052",1.09233532616894e-05,5,NA,0.538248742766603,0.538248742766603,FALSE
"ASV_5053",1.19970468044329e-05,7,NA,0.552984637641224,0.552984637641224,FALSE
"ASV_5054",2.27801268261953e-06,6,NA,0.545656516946817,0.545656516946817,FALSE
"ASV_5055",8.03097005186923e-06,8,NA,0.560233535409204,0.560233535409204,FALSE
"ASV_5056",2.24035619642303e-06,3,NA,0.523192511711215,0.523192511711215,FALSE
"ASV_5057",6.0586126441589e-06,3,NA,0.523192511711215,0.523192511711215,FALSE
"ASV_5058",5.76596938718543e-06,9,NA,0.567403640810141,0.567403640810141,FALSE
"ASV_5059",3.54281627200042e-06,9,NA,0.567403640810141,0.567403640810141,FALSE
"ASV_5061",4.05285246540234e-06,4,NA,0.530760884541196,0.530760884541196,FALSE
"ASV_5063",1.07608469907409e-05,7,NA,0.552984637641224,0.552984637641224,FALSE
"ASV_5067",9.37445767453567e-06,2,NA,0.515543193717278,0.515543193717278,FALSE
"ASV_5068",2.19017067378137e-05,13,NA,0.595304749931111,0.595304749931111,FALSE
"ASV_5070",1.5181205653515e-05,5,NA,0.538248742766603,0.538248742766603,FALSE
"ASV_5071",8.1339737164017e-06,5,NA,0.538248742766603,0.538248742766603,FALSE
"ASV_5072",1.87133629578473e-05,10,NA,0.574495384403417,0.574495384403417,FALSE
"ASV_5073",1.93631464715665e-05,7,NA,0.552984637641224,0.552984637641224,FALSE
"ASV_5074",5.08538358745476e-06,9,NA,0.567403640810141,0.567403640810141,FALSE
"ASV_5075",1.89119195899825e-05,8,NA,0.560233535409204,0.560233535409204,FALSE
"ASV_5076",6.2675026921507e-06,7,NA,0.552984637641224,0.552984637641224,FALSE
